"","x","y","YIELD","MOIST","ELEV","DIST","SWAT","EVI","NDVI"
"791",583635,5425785,7.73312997817993,9.41824817657471,342.494720458984,2.35040020942688,11.9075794219971,0.230484440922737,0.32056513428688
"792",583645,5425785,8.0081615447998,9.48443698883057,342.333740234375,1.92423915863037,11.9885807037354,0.223994955420494,0.311794221401215
"793",583655,5425785,8.10357761383057,9.64837455749512,342.150390625,1.8337379693985,12.039999961853,0.234976887702942,0.320953279733658
"854",583625,5425775,8.08698749542236,9.70735740661621,342.940979003906,2.37299728393555,12.132134437561,0.247928246855736,0.339781582355499
"855",583635,5425775,8.21552848815918,9.31223583221436,342.496063232422,2.2075366973877,11.9127216339111,0.253799051046371,0.346546918153763
"856",583645,5425775,8.30456638336182,9.21456336975098,342.338073730469,2.24942898750305,12.0222206115723,0.25355526804924,0.344516932964325
"857",583655,5425775,8.3620777130127,9.50085353851318,342.066650390625,1.70108437538147,11.9465370178223,0.262510806322098,0.355315864086151
"858",583665,5425775,7.97514009475708,9.49480628967285,341.738037109375,1.71429169178009,11.8879995346069,0.255814999341965,0.349285274744034
"918",583625,5425765,8.06487560272217,9.24867153167725,342.956176757812,2.24674153327942,12.0806179046631,0.268111050128937,0.360655725002289
"919",583635,5425765,7.88769149780273,9.17939186096191,342.520935058594,2.32831859588623,11.938081741333,0.267586529254913,0.359902650117874
"920",583645,5425765,8.12361145019531,9.21076393127441,342.321044921875,1.82190597057343,12.039999961853,0.258111417293549,0.346130400896072
"921",583655,5425765,7.89351463317871,9.407883644104,342.019592285156,1.97669279575348,12.039999961853,0.254781424999237,0.34251606464386
"922",583665,5425765,7.81632709503174,9.31721591949463,341.656036376953,1.7723560333252,12.039999961853,0.25382587313652,0.344416558742523
"927",583715,5425765,8.71754169464111,9.33113861083984,340.527587890625,1.66245484352112,11.9844484329224,0.278053402900696,0.371050268411636
"982",583625,5425755,8.47743034362793,9.34065437316895,342.935974121094,2.12161898612976,12.0294647216797,0.269919961690903,0.359587997198105
"983",583635,5425755,8.81015300750732,9.32791423797607,342.528289794922,1.86151206493378,11.96409034729,0.270251750946045,0.362105906009674
"984",583645,5425755,8.39635372161865,9.33197689056396,342.257202148438,2.14879894256592,12.039999961853,0.257937431335449,0.347530871629715
"985",583655,5425755,8.35032081604004,9.29260349273682,341.991607666016,1.68350481987,12.039999961853,0.251132160425186,0.33930778503418
"986",583665,5425755,8.55066776275635,9.08050537109375,341.575164794922,1.57683348655701,12.039999961853,0.248212322592735,0.33939203619957
"990",583705,5425755,9.12424182891846,9.11435127258301,340.644866943359,1.64192223548889,11.9055852890015,0.265301436185837,0.357519388198853
"991",583715,5425755,9.03397274017334,9.17493343353271,340.496154785156,1.52902853488922,12.0172185897827,0.26104599237442,0.353264182806015
"992",583725,5425755,9.2106819152832,9.32974529266357,340.171356201172,1.72863590717316,12.039999961853,0.271138221025467,0.367080748081207
"993",583735,5425755,9.04831123352051,9.28434276580811,339.925354003906,1.87904691696167,12.039999961853,0.291768461465836,0.386915892362595
"994",583745,5425755,9.22896289825439,9.16785526275635,339.692016601562,1.80788815021515,12.039999961853,0.274869710206985,0.369284123182297
"1046",583625,5425745,8.51286697387695,9.27382278442383,342.89013671875,2.23936200141907,11.9603452682495,0.269665449857712,0.360096603631973
"1047",583635,5425745,8.72062015533447,9.1925687789917,342.48095703125,1.87150001525879,11.9981498718262,0.267450332641602,0.360122710466385
"1048",583645,5425745,8.75286674499512,9.29014778137207,342.173889160156,1.90125024318695,12.039999961853,0.262867152690887,0.355099499225616
"1049",583655,5425745,8.45295906066895,9.60562705993652,341.874725341797,1.94155097007751,12.039999961853,0.253619879484177,0.344465047121048
"1055",583715,5425745,8.70370101928711,8.94169616699219,340.392852783203,1.59001505374908,12.039999961853,0.262082129716873,0.35247403383255
"1056",583725,5425745,9.40506839752197,9.08813285827637,340.097015380859,1.76706635951996,12.039999961853,0.271683067083359,0.363664895296097
"1057",583735,5425745,9.10875511169434,9.00272274017334,339.804870605469,1.88000106811523,12.039999961853,0.269060403108597,0.362309634685516
"1058",583745,5425745,9.41703414916992,8.95406913757324,339.547149658203,1.98074460029602,12.039999961853,0.262370228767395,0.357097387313843
"1059",583755,5425745,9.59419822692871,9.14530849456787,339.260803222656,1.83869636058807,11.9748725891113,0.299425363540649,0.394926398992538
"1109",583615,5425735,8.40286636352539,9.16514301300049,343.186309814453,2.18489480018616,12.1302051544189,0.266906321048737,0.355901747941971
"1110",583625,5425735,8.78583526611328,9.21528720855713,342.7607421875,1.91798770427704,11.9094705581665,0.277915954589844,0.367633849382401
"1111",583635,5425735,8.5703649520874,9.2755126953125,342.406982421875,1.84027934074402,12.0239114761353,0.265993893146515,0.356596261262894
"1112",583645,5425735,8.44957733154297,9.66127967834473,342.085784912109,1.70777058601379,12.039999961853,0.25758484005928,0.349141955375671
"1113",583655,5425735,8.2754077911377,9.69160556793213,341.763275146484,1.71035945415497,12.039999961853,0.252116292715073,0.342500001192093
"1119",583715,5425735,8.9939546585083,9.04257011413574,340.209045410156,1.78909838199615,12.039999961853,0.257658898830414,0.350108742713928
"1120",583725,5425735,9.42500782012939,9.01001453399658,339.975616455078,1.79850220680237,12.039999961853,0.260561436414719,0.353662371635437
"1121",583735,5425735,9.38438606262207,8.99808692932129,339.6376953125,1.6862610578537,12.039999961853,0.26450115442276,0.360303401947021
"1173",583615,5425725,8.6392068862915,9.3578634262085,343.03466796875,2.16582202911377,12.0792789459229,0.268164932727814,0.355700701475143
"1174",583625,5425725,9.12132453918457,9.41414642333984,342.650756835938,1.87921690940857,11.9029417037964,0.277891397476196,0.367157012224197
"1175",583635,5425725,8.37808418273926,9.32396030426025,342.278533935547,2.03257775306702,12.039999961853,0.272122979164124,0.363104403018951
"1176",583645,5425725,8.25465488433838,9.46809387207031,341.999389648438,1.67600107192993,12.039999961853,0.266635864973068,0.357940435409546
"1177",583655,5425725,8.43622970581055,9.22756576538086,341.64306640625,1.65619385242462,12.039999961853,0.25872802734375,0.350844264030457
"1182",583705,5425725,8.99464321136475,9.34979152679443,340.335296630859,1.72813415527344,12.039999961853,0.259038060903549,0.348130136728287
"1183",583715,5425725,9.23163986206055,9.02112579345703,340.074676513672,1.60022878646851,12.039999961853,0.262261122465134,0.357613801956177
"1184",583725,5425725,9.44836235046387,9.18253803253174,339.789642333984,1.74270498752594,12.039999961853,0.265927970409393,0.363866090774536
"1185",583735,5425725,9.48514080047607,9.13038444519043,339.518798828125,1.68407022953033,12.039999961853,0.258183181285858,0.356477022171021
"1192",583805,5425725,8.02041721343994,9.95563507080078,338.255798339844,1.92994654178619,12.1920003890991,0.251974433660507,0.348958343267441
"1237",583615,5425715,8.87005805969238,9.50179672241211,342.793853759766,2.09123516082764,12.0098829269409,0.266196995973587,0.356205254793167
"1238",583625,5425715,9.05929470062256,9.58035087585449,342.427917480469,1.85671615600586,11.9374666213989,0.278988659381866,0.369380325078964
"1239",583635,5425715,8.56051158905029,9.41751575469971,342.054138183594,1.9042466878891,12.039999961853,0.271808713674545,0.363497406244278
"1240",583645,5425715,8.4492359161377,9.39675235748291,341.822387695312,1.92753684520721,12.039999961853,0.274150222539902,0.367245644330978
"1241",583655,5425715,8.75683498382568,9.14374542236328,341.417053222656,1.80072486400604,12.039999961853,0.266519635915756,0.360696524381638
"1245",583695,5425715,7.77957439422607,9.43888282775879,340.404266357422,1.68152642250061,12.039999961853,0.255361437797546,0.34737503528595
"1246",583705,5425715,8.82223415374756,9.02976322174072,340.121215820312,1.6761599779129,12.039999961853,0.265669465065002,0.355214715003967
"1247",583715,5425715,9.11758899688721,8.92002201080322,339.920715332031,1.6600706577301,12.039999961853,0.250704109668732,0.347186714410782
"1248",583725,5425715,9.21605777740479,8.94809436798096,339.683715820312,1.8589254617691,12.039999961853,0.24866496026516,0.344705492258072
"1249",583735,5425715,9.46740913391113,9.06373310089111,339.500091552734,1.85550236701965,11.9960289001465,0.244818896055222,0.340473860502243
"1254",583785,5425715,9.3696928024292,9.6431303024292,338.560607910156,1.73536908626556,12.1121511459351,0.252996623516083,0.351315796375275
"1301",583615,5425705,9.04057121276855,9.39999961853027,342.584808349609,2.05787944793701,11.9584703445435,0.274556696414948,0.365795016288757
"1302",583625,5425705,9.27768802642822,9.31825065612793,342.217071533203,1.81515860557556,11.9628553390503,0.282304614782333,0.374349564313889
"1303",583635,5425705,8.80710601806641,9.33089351654053,341.845031738281,1.84713220596313,12.039999961853,0.281271427869797,0.37386018037796
"1304",583645,5425705,8.60318660736084,9.54774475097656,341.582000732422,1.94503486156464,12.039999961853,0.269285082817078,0.362576693296432
"1305",583655,5425705,7.82427167892456,9.42445945739746,341.181976318359,1.85265564918518,12.039999961853,0.256233632564545,0.349186480045319
"1310",583705,5425705,7.88225555419922,9.092360496521,340.006896972656,1.80078196525574,12.039999961853,0.267962843179703,0.358950912952423
"1311",583715,5425705,8.74946784973145,8.92999649047852,339.826263427734,2.03032636642456,12.039999961853,0.249349221587181,0.347328245639801
"1312",583725,5425705,9.29463577270508,8.89999961853027,339.61865234375,1.70600140094757,12.039999961853,0.240420907735825,0.334646970033646
"1313",583735,5425705,9.36056518554688,9.04723358154297,339.424865722656,1.64413022994995,12.039999961853,0.233719348907471,0.327207088470459
"1314",583745,5425705,9.48798274993896,9.27288150787354,339.266510009766,1.63768625259399,12.0102376937866,0.238865628838539,0.33488991856575
"1364",583605,5425695,8.17390823364258,9.47483825683594,342.721923828125,2.35683417320251,12.1282119750977,0.263455718755722,0.351025342941284
"1365",583615,5425695,8.75502681732178,9.67184925079346,342.35009765625,2.29125189781189,11.9065885543823,0.277399450540543,0.36762934923172
"1366",583625,5425695,8.77187538146973,9.34787845611572,341.975250244141,2.02203679084778,11.98828125,0.273944437503815,0.367228180170059
"1367",583635,5425695,8.829421043396,9.38669109344482,341.628997802734,1.67913663387299,12.039999961853,0.27123498916626,0.362503796815872
"1368",583645,5425695,8.62871265411377,9.43248271942139,341.344970703125,1.72160804271698,12.039999961853,0.255632966756821,0.34962871670723
"1373",583695,5425695,8.8666877746582,9.59279346466064,340.150909423828,1.58164179325104,11.9727392196655,0.264728844165802,0.358631402254105
"1374",583705,5425695,9.02066040039062,9.19806671142578,339.950103759766,1.78342258930206,11.9164476394653,0.270363390445709,0.364735037088394
"1375",583715,5425695,9.26596546173096,9.04913139343262,339.772003173828,1.74911725521088,12.039999961853,0.251365602016449,0.348300188779831
"1376",583725,5425695,9.49204158782959,9.11255645751953,339.391357421875,1.68836665153503,12.039999961853,0.242622494697571,0.339033216238022
"1377",583735,5425695,9.33059978485107,8.82805824279785,339.1806640625,1.66238975524902,12.039999961853,0.2438795119524,0.338994115591049
"1378",583745,5425695,9.50923633575439,8.78025436401367,339.040985107422,1.67270708084106,11.9845724105835,0.233518406748772,0.329818785190582
"1428",583605,5425685,8.70786380767822,9.30425548553467,342.390899658203,2.040198802948,12.0592193603516,0.269509971141815,0.357400715351105
"1429",583615,5425685,8.56757640838623,9.35875606536865,342.020111083984,2.2267279624939,11.9127006530762,0.283295184373856,0.373566687107086
"1430",583625,5425685,7.75400066375732,9.40682697296143,341.662902832031,1.98973953723907,12.022705078125,0.276515662670135,0.369065850973129
"1431",583635,5425685,8.36892414093018,9.40149402618408,341.379272460938,2.04987621307373,12.039999961853,0.262482821941376,0.351102948188782
"1432",583645,5425685,8.29463386535645,9.16918849945068,341.019622802734,1.84469926357269,12.039999961853,0.244892314076424,0.335015773773193
"1437",583695,5425685,9.19518089294434,9.20702934265137,339.824951171875,1.53671383857727,12.039999961853,0.269847840070724,0.363017946481705
"1438",583705,5425685,9.07098197937012,8.97132587432861,339.680603027344,1.60771250724792,12.039999961853,0.267890006303787,0.365089327096939
"1439",583715,5425685,8.97720432281494,8.8591890335083,339.594696044922,2.09931755065918,12.039999961853,0.25937956571579,0.354797154664993
"1440",583725,5425685,8.44937229156494,9.05899620056152,339.199462890625,2.02777004241943,12.039999961853,0.257520943880081,0.353594779968262
"1441",583735,5425685,9.14588642120361,9.18044757843018,339.068878173828,1.93813812732697,12.039999961853,0.2673379778862,0.364956438541412
"1442",583745,5425685,9.39638137817383,9.03066635131836,338.971466064453,1.75269365310669,11.9492454528809,0.246394515037537,0.342028051614761
"1492",583605,5425675,7.93531560897827,9.63434219360352,342.119415283203,2.09693241119385,12.0084800720215,0.284240663051605,0.373098731040955
"1493",583615,5425675,8.34175300598145,9.51912975311279,341.752258300781,1.89688861370087,11.9384269714355,0.281575381755829,0.373125374317169
"1494",583625,5425675,8.05303573608398,9.49337387084961,341.397583007812,2.21857833862305,12.039999961853,0.267368704080582,0.359264940023422
"1495",583635,5425675,8.59932136535645,9.19732761383057,341.193145751953,1.74344754219055,12.039999961853,0.247466251254082,0.336630612611771
"1496",583645,5425675,7.94261407852173,9.34205627441406,340.856384277344,1.8155620098114,12.039999961853,0.246056631207466,0.338407874107361
"1501",583695,5425675,8.77121925354004,9.27526092529297,339.569183349609,1.52234506607056,12.039999961853,0.265458524227142,0.357668697834015
